,customSampleId,pesticideCount,pesticideCode,tag,resVal,resType
339,30FA9,1,RF-0156-001-PPP,Endrin,,LOQ
340,30FA9,1,RF-0119-007-PPP,DDT (sum),,LOQ
341,30FA9,1,RF-0119-006-PPP,DDT (sum),,LOQ
342,30FA9,1,RF-0119-004-PPP,DDT (sum),,LOQ
343,30FA9,1,RF-0119-003-PPP,DDT (sum),,LOQ
344,30FA9,1,RF-0119-002-PPP,DDT (sum),,LOQ
345,30FA9,1,RF-0119-001-PPP,DDT (sum),,LOQ
346,30FA9,1,RF-0075-004-PPP,Chlordane (sum),,LOQ
347,30FA9,1,RF-0075-005-PPP,Chlordane (sum),,LOQ
348,30FA9,1,RF-0075-003-PPP,Chlordane (sum),,LOQ
349,30FA9,1,RF-0021-003-PPP,Dieldrin (sum),,LOQ
350,30FA9,1,RF-0021-001-PPP,Dieldrin (sum),,LOQ
351,30FA9,1,RF-0021-002-PPP,Dieldrin (sum),,LOQ
352,30FA9,1,RF-0239-002-PPP,HCH-beta,0.0129,VAL
353,3299D,1,RF-0263-001-PPP,Lindane,,LOQ
354,3299D,1,RF-0237-001-PPP,Hexachlorobenzene,,LOQ
355,3299D,1,RF-0238-001-PPP,HCH-alpha,,LOQ
356,3299D,1,RF-0236-004-PPP,Heptachlor (sum),,LOQ
357,3299D,1,RF-0236-005-PPP,Heptachlor (sum),,LOQ
358,3299D,1,RF-0156-001-PPP,Endrin,,LOQ
359,3299D,1,RF-0236-001-PPP,Heptachlor (sum),,LOQ
360,3299D,1,RF-0119-006-PPP,DDT (sum),,LOQ
361,3299D,1,RF-0119-007-PPP,DDT (sum),,LOQ
362,3299D,1,RF-0119-003-PPP,DDT (sum),,LOQ
363,3299D,1,RF-0119-004-PPP,DDT (sum),,LOQ
364,3299D,1,RF-0119-001-PPP,DDT (sum),,LOQ
365,3299D,1,RF-0119-002-PPP,DDT (sum),,LOQ
366,3299D,1,RF-0075-004-PPP,Chlordane (sum),,LOQ
367,3299D,1,RF-0075-005-PPP,Chlordane (sum),,LOQ
368,3299D,1,RF-0075-003-PPP,Chlordane (sum),,LOQ
369,3299D,1,RF-0021-002-PPP,Dieldrin (sum),,LOQ
370,3299D,1,RF-0021-003-PPP,Dieldrin (sum),,LOQ
371,3299D,1,RF-0239-002-PPP,HCH-beta,0.02878,VAL
372,3299D,1,RF-0021-001-PPP,Dieldrin (sum),,LOQ
373,39104,35,RF-0406-001-PPP,Tecnazene,0.03,LOQ
374,39104,35,RF-0011-001-PPP,Abamectin (sum),0.005,LOQ
375,39104,35,RF-0238-001-PPP,HCH-alpha,0.002,LOQ
376,39104,35,RF-0075-002-PPP,Chlordane (sum),0.001,LOQ
377,39104,35,RF-0075-002-PPP,Chlordane (sum),0.001,LOQ
378,39104,35,RF-0155-001-PPP,Endosulfan (sum),0.001,LOQ
379,39104,35,RF-0187-006-PPP,Fenthion (sum),0.01,LOQ
380,39104,35,RF-0108-003-PPP,Cyfluthrin (sum),0.005,LOQ
381,39104,35,RF-0239-002-PPP,HCH-beta,0.002,LOQ
382,39104,35,RF-0237-001-PPP,Hexachlorobenzene,0.011,VAL
383,39104,35,RF-0021-003-PPP,Dieldrin (sum),0.001,LOQ
384,39104,35,RF-0842-001-PPP,Permethrin (sum),0.01,LOQ
