,sampleId,sampCountry,origCountry,productCode,efsaProductCode,productTreat,progType,pesticideCode,resVal,fatPerc,resType,year,tag,short_name,long_name,paramcode,limit,mandatory
5527,161CA52B849F61DEEF835032B5894F6E,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5536,6252D31240777DC6B0FF7F87604EFEDA,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.002,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5542,A82A89866972D6AA411535BF9AEA3562,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5543,042BC0D800F059F7E184525EA60B119F,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5555,D0CF0C393B5A9DD2CAA6AB0F0C9ABF26,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.002,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5583,4B880471C7F3248EC1056A2AC213ECE7,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,0.003,4.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5585,738F5805CB8B705D28E9F5842A41C110,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.002,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5592,098CAA4C14F0C956C7210687016E155A,DE,DE,P1020010A,-1,T999A,K005A,RF-0237-001-PPP,8e-05,-1.0,VAL,2011,Hexachlorobenzene,Hexachlorobenzene,Hexachlorobenzene,RF-0237-001-PPP,0.005,True
5603,190E7C64E619753ABD15280BFBC5CD62,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.0009,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
5610,FA20A4BA1E5C713215F88AF7E98ACE83,DE,DE,P1020010A,-1,T999A,K005A,RF-0119-001-PPP,0.002,4.0,VAL,2011,DDT (sum),DDT (sum),"DDT (sum of p,p'-DDT, o,p'-DDT, p-p'-DDE and p,p'-TDE (DDD) expressed as DDT)",RF-0119-001-PPP,0.04,True
